"province_code","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital"
"21","2101"," SAR‐I‐PUL","مرکزسرپل ‐ سرپل","2101"," SAR‐I‐PUL","مرکزسرپل ‐ سرپل","YES"
"21","2102","SUZMA QULA","سوزمه قلعه","2102","SUZMA QULA","سوزمه قلعه","NO"
"21","2103","SAYAD","صياد","2103","SAYAD","صياد","NO"
"21","2104","KOHISTANAT","کوھستانات","2104","KOHISTANAT","کوھستانات","NO"
"21","2105","BALKHAB","بلخاب","2105","BALKHAB","بلخاب","NO"
"21","2106","SANGCHARAK","سنگ چارک","2106","SANGCHARAK","سنگ چارک","NO"
"21","2107","GOSFANDI","گوسفندی","2107","GOSFANDI","گوسفندی","NO"
"22","2201"," MAIMANA","مرکز ولايت ميمنه","2201"," MAIMANA","مرکز ولايت ميمنه","YES"
"22","2202","PASHTOON KOTT","پشتون کوت","2202","PASHTOON KOTT","پشتون کوت","NO"
"22","2203","KHUWAJA SABZ POSHE WALI","خواجه سبز پوش ولی","2203","KHUWAJA SABZ POSHE WALI","خواجه سبز پوش ولی","NO"
"22","2204","ALMAR","المار","2204","ALMAR","المار","NO"
"22","2205","QAISAR","قيصار","2205","QAISAR","قيصار","NO"
"22","2206","KOHISTAN FARYAB","کوھستان","2206","KOHISTAN FARYAB","کوھستان","NO"
"22","2207","GARZIWAN","گرزيوان","2207","GARZIWAN","گرزيوان","NO"
"22","2208","BALCHERAGH","بل چراغ","2208","BALCHERAGH","بل چراغ","NO"
"22","2209","SHERIN TAGAB","شيرين تگاب","2209","SHERIN TAGAB","شيرين تگاب","NO"
"22","2210","DAWLAT ABAD","دولت آباد","2210","DAWLAT ABAD","دولت آباد","NO"
